run_id,evidence_id,product_id,product_name,vintage_label,source_domain,source_url,source_title,source_type,ocr_gap_category,ocr_priority,capture_strategy,crop_target,ocr_expected_surface,image_map_keys,local_private_image_path,processed_private_image_path,panel_crop_note,rights_review_status,publication_image_policy,candidate_only,manual_verified
pilot-photo-capture-dry-run,flickr_oreo_1960s,oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,1980s_or_earlier,www.flickr.com,https://www.flickr.com/photos/jasonliebigstuff/4635007453,"Nabisco Oreo Creme Sandwich cello package, 1950s-1960s - Flickr",panel_crop,panel_capture_needed,high,panel_crop,"ingredient/nutrition panel crop, including serving size and net-weight if visible",ingredient_or_nutrition_panel,flickr_oreo_1960s;oreo_original_chocolate_sandwich_cookies:flickr_oreo_1960s;https://www.flickr.com/photos/jasonliebigstuff/4635007453,,,,Collector photo; inspect license/rights before reuse.,source_link_only_no_public_image,1,0
pilot-photo-capture-dry-run,flickr_oreo_1993,oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,1990s,www.flickr.com,https://www.flickr.com/photos/jasonliebigstuff/6823914204,Nabisco - Oreo - 6-pack cookie pack - 1993 - Flickr,panel_crop,panel_capture_needed,high,panel_crop,"ingredient/nutrition panel crop, including serving size and net-weight if visible",ingredient_or_nutrition_panel,flickr_oreo_1993;oreo_original_chocolate_sandwich_cookies:flickr_oreo_1993;https://www.flickr.com/photos/jasonliebigstuff/6823914204,,,,Collector photo; inspect license/rights before reuse.,source_link_only_no_public_image,1,0
pilot-photo-capture-dry-run,flickr_oreo_1960s_box,oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,1980s_or_earlier,www.flickr.com,https://www.flickr.com/photos/jasonliebigstuff/4210393728,Nabisco - Oreo cookie package - 1960s - Flickr,panel_crop,panel_capture_needed,high,panel_crop,"ingredient/nutrition panel crop, including serving size and net-weight if visible",ingredient_or_nutrition_panel,flickr_oreo_1960s_box;oreo_original_chocolate_sandwich_cookies:flickr_oreo_1960s_box;https://www.flickr.com/photos/jasonliebigstuff/4210393728,,,,Collector photo; inspect license/rights before reuse.,source_link_only_no_public_image,1,0
pilot-photo-capture-dry-run,packaging_digest_century,oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,1980s_or_earlier,www.packagingdigest.com,https://www.packagingdigest.com/packaging-design/oreo-celebrates-century-of-cookie-packaging,Oreo celebrates century of cookie packaging - Packaging Digest,panel_crop,panel_capture_needed,high,panel_crop,"ingredient/nutrition panel crop, including serving size and net-weight if visible",ingredient_or_nutrition_panel,packaging_digest_century;oreo_original_chocolate_sandwich_cookies:packaging_digest_century;https://www.packagingdigest.com/packaging-design/oreo-celebrates-century-of-cookie-packaging,,,,Article citation; not ingredient-label evidence.,source_link_only_no_public_image,1,0
pilot-photo-capture-dry-run,seattlepi_century,oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,1980s_or_earlier,www.seattlepi.com,https://www.seattlepi.com/entertainment/article/a-century-of-oreos-3386488.php,A century of Oreos - SeattlePI,panel_crop,panel_capture_needed,high,panel_crop,"ingredient/nutrition panel crop, including serving size and net-weight if visible",ingredient_or_nutrition_panel,seattlepi_century;oreo_original_chocolate_sandwich_cookies:seattlepi_century;https://www.seattlepi.com/entertainment/article/a-century-of-oreos-3386488.php,,,,Article citation; not ingredient-label evidence.,source_link_only_no_public_image,1,0
pilot-photo-capture-dry-run,campbells_tomato_soup_evidence_5,campbells_tomato_soup,Campbell's Condensed Tomato Soup,1980s_or_earlier,www.ingredientinspector.org,https://www.ingredientinspector.org/home/campbells-tomato-soup-ingredients,Ingredient Inspector Campbell's Tomato Soup ingredients article,panel_crop,panel_capture_needed,high,panel_crop,"ingredient/nutrition panel crop, including serving size and net-weight if visible",ingredient_or_nutrition_panel,campbells_tomato_soup_evidence_5;campbells_tomato_soup:campbells_tomato_soup_evidence_5;https://www.ingredientinspector.org/home/campbells-tomato-soup-ingredients,,,,"External source; link for attribution, do not reproduce imagery without rights review.",source_link_only_no_public_image,1,0
pilot-photo-capture-dry-run,cheerios_original_evidence_1,cheerios_original,Cheerios Original,earliest_verified_label;1980s_or_earlier,www.flickr.com,https://www.flickr.com/photos/25692985%40N07/3523833856,1985 General Mills Cheerios Cereal Box Back - Flickr,panel_crop,panel_capture_needed,high,panel_crop,"ingredient/nutrition panel crop, including serving size and net-weight if visible",ingredient_or_nutrition_panel,cheerios_original_evidence_1;cheerios_original:cheerios_original_evidence_1;https://www.flickr.com/photos/25692985%40N07/3523833856,,,,All rights reserved,source_link_only_no_public_image,1,0
pilot-photo-capture-dry-run,coca_cola_classic_evidence_1,coca_cola_classic,Coca-Cola Classic,earliest_verified_label;1980s_or_earlier,www.flickr.com,https://www.flickr.com/photos/studioz7/29453244726,1960s Coca-Cola syrup label collector photo,panel_crop,panel_capture_needed,high,panel_crop,"ingredient/nutrition panel crop, including serving size and net-weight if visible",ingredient_or_nutrition_panel,coca_cola_classic_evidence_1;coca_cola_classic:coca_cola_classic_evidence_1;https://www.flickr.com/photos/studioz7/29453244726,,,,"External source; link for attribution, do not reproduce imagery without rights review.",source_link_only_no_public_image,1,0
pilot-photo-capture-dry-run,campbells_tomato_soup_evidence_10,campbells_tomato_soup,Campbell's Condensed Tomato Soup,current_2020s,www.campbellsfoodservice.com,https://www.campbellsfoodservice.com/product/tomato-soup-2/?product-pdf=_,Campbell's Condensed Tomato Soup 23.2 oz family size product PDF,panel_crop,panel_capture_needed,high,panel_crop,"ingredient/nutrition panel crop, including serving size and net-weight if visible",ingredient_or_nutrition_panel,campbells_tomato_soup_evidence_10;campbells_tomato_soup:campbells_tomato_soup_evidence_10;https://www.campbellsfoodservice.com/product/tomato-soup-2/?product-pdf=_,,,,"External source; link for attribution, do not reproduce imagery without rights review.",source_link_only_no_public_image,1,0
pilot-photo-capture-dry-run,campbells_tomato_soup_evidence_7,campbells_tomato_soup,Campbell's Condensed Tomato Soup,current_2020s,www.campbells.com,https://www.campbells.com/products/condensed/tomato-soup/,Campbell's Condensed Tomato Soup 10.75 oz current product page,panel_crop,panel_capture_needed,high,panel_crop,"ingredient/nutrition panel crop, including serving size and net-weight if visible",ingredient_or_nutrition_panel,campbells_tomato_soup_evidence_7;campbells_tomato_soup:campbells_tomato_soup_evidence_7;https://www.campbells.com/products/condensed/tomato-soup/,,,,"External source; link for attribution, do not reproduce imagery without rights review.",source_link_only_no_public_image,1,0
