product_id,product_name,brand,category,vintage_label,evidence_id,evidence_kind,source_domain,source_url,source_title,source_owner,proof_lane,proof_lane_rank,ocr_priority,ocr_gap_category,ocr_access_state,ocr_recommended_action,registry_priority,promotion_blocker,ground_truth_fields_missing,image_reference,public_image_url,thumbnail_url,image_display_policy,rights_status,license_url,attribution_text,ingredient_panel_visible,nutrition_panel_visible,net_weight_visible,capture_strategy,crop_target,ocr_expected_surface,candidate_only,manual_verified
subway_italian_bmt,Subway Italian B.M.T.,Subway,fast food,2010s bridge,subway_italian_bmt__2010s__945__1,menu_or_nutrition_document,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File%3A%22US_Product_Ingredient_Guide%22_%28April_2020%29%2C_Subway.pdf,Wikimedia Commons Subway US Product Ingredient Guide April 2020 PDF,Wikimedia Commons / Subway,primary_ingredient_panel,1,high,panel_capture_needed,external_image_reference_ready,"Download rights-cleared panel/document image into private cache, crop readable ingredient/nutrition surface first, run native OCR, and send candidate text to manual review.",95,OCR text is candidate-only; no ingredient claim promotion without manual verification metadata.,ocr_lines; ingredient_panel_visibility; corrected_text; reviewer; manual_verified,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/%22US_Product_Ingredient_Guide%22_%28April_2020%29%2C_Subway.pdf/page1-960px-%22US_Product_Ingredient_Guide%22_%28April_2020%29%2C_Subway.pdf.jpg,https://upload.wikimedia.org/wikipedia/commons/5/58/%22US_Product_Ingredient_Guide%22_%28April_2020%29%2C_Subway.pdf,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/%22US_Product_Ingredient_Guide%22_%28April_2020%29%2C_Subway.pdf/page1-960px-%22US_Product_Ingredient_Guide%22_%28April_2020%29%2C_Subway.pdf.jpg,embed_rights_cleared,Wikimedia Commons Public domain,,"Subway / https://web.archive.org/save/https://www.subway.com/~/media/USA/Documents/Nutrition/usProdIngredients.pdf via Wikimedia Commons, Public domain",candidate,,,direct_public_image_download,crop readable ingredient/nutrition/back-panel surface first,ingredient/nutrition document text if visible,1,0
subway_italian_bmt,Subway Italian B.M.T.,Subway,fast food,Earliest label hunt,subway_italian_bmt__earliest_verified_label__945__1,menu_or_nutrition_document,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File%3A%22US_Product_Ingredient_Guide%22_%28April_2020%29%2C_Subway.pdf,Wikimedia Commons Subway US Product Ingredient Guide April 2020 PDF,Wikimedia Commons / Subway,primary_ingredient_panel,1,high,panel_capture_needed,external_image_reference_ready,"Download rights-cleared panel/document image into private cache, crop readable ingredient/nutrition surface first, run native OCR, and send candidate text to manual review.",95,OCR text is candidate-only; no ingredient claim promotion without manual verification metadata.,ocr_lines; ingredient_panel_visibility; corrected_text; reviewer; manual_verified,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/%22US_Product_Ingredient_Guide%22_%28April_2020%29%2C_Subway.pdf/page1-960px-%22US_Product_Ingredient_Guide%22_%28April_2020%29%2C_Subway.pdf.jpg,https://upload.wikimedia.org/wikipedia/commons/5/58/%22US_Product_Ingredient_Guide%22_%28April_2020%29%2C_Subway.pdf,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/%22US_Product_Ingredient_Guide%22_%28April_2020%29%2C_Subway.pdf/page1-960px-%22US_Product_Ingredient_Guide%22_%28April_2020%29%2C_Subway.pdf.jpg,embed_rights_cleared,Wikimedia Commons Public domain,,"Subway / https://web.archive.org/save/https://www.subway.com/~/media/USA/Documents/Nutrition/usProdIngredients.pdf via Wikimedia Commons, Public domain",candidate,,,direct_public_image_download,crop readable ingredient/nutrition/back-panel surface first,ingredient/nutrition document text if visible,1,0
7up_original,7UP Original,7UP,beverages,Earliest label hunt,7up_original__earliest_verified_label__1069__4,licensed_package_photo,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File%3AOld_7_UP_bottles.jpg,Old 7 UP bottles - Wikimedia Commons,Wikimedia Commons / Lynette,secondary_product_context,2,medium,package_identity_review_needed,external_image_reference_ready,Download rights-cleared product image into private cache for broad OCR/identity context only; do not treat as ingredient proof unless OCR finds a readable panel signal.,45,OCR text is candidate-only; no ingredient claim promotion without manual verification metadata.,ocr_lines; ingredient_panel_visibility; corrected_text; reviewer; manual_verified,https://upload.wikimedia.org/wikipedia/commons/1/15/Old_7_UP_bottles.jpg,https://upload.wikimedia.org/wikipedia/commons/1/15/Old_7_UP_bottles.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Old_7_UP_bottles.jpg/960px-Old_7_UP_bottles.jpg,embed_rights_cleared,Wikimedia Commons CC BY 2.0 / Creative Commons Attribution 2.0,https://creativecommons.org/licenses/by/2.0,"Lynette / https://www.flickr.com/photos/51981051@N08/4815400077/ via Wikimedia Commons, CC BY 2.0",,,,direct_public_image_download,secondary context scan; crop only if OCR or reviewer sees ingredient/nutrition panel,package/front text and any visible label clues; ingredient panel not guaranteed,1,0
ball_park_franks,Ball Park Franks,Ball Park,meat,1980s or earlier lead,ball_park_franks__1980s_or_earlier__990__1,licensed_package_photo,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File%3AVintage_Ad_-780-_Baseball_Fans_Guide_to_Ball_Park_Franks_%283415970199%29.jpg,Wikimedia Commons 1976 Ball Park Franks vintage ad,"Wikimedia Commons / Jamie from Toronto, ON",secondary_product_context,2,medium,package_identity_review_needed,external_image_reference_ready,Download rights-cleared product image into private cache for broad OCR/identity context only; do not treat as ingredient proof unless OCR finds a readable panel signal.,45,OCR text is candidate-only; no ingredient claim promotion without manual verification metadata.,ocr_lines; ingredient_panel_visibility; corrected_text; reviewer; manual_verified,https://upload.wikimedia.org/wikipedia/commons/a/a6/Vintage_Ad_-780-_Baseball_Fans_Guide_to_Ball_Park_Franks_%283415970199%29.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a6/Vintage_Ad_-780-_Baseball_Fans_Guide_to_Ball_Park_Franks_%283415970199%29.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a6/Vintage_Ad_-780-_Baseball_Fans_Guide_to_Ball_Park_Franks_%283415970199%29.jpg,embed_rights_cleared,Wikimedia Commons CC BY 2.0 / Creative Commons Attribution 2.0,https://creativecommons.org/licenses/by/2.0,"Jamie from Toronto, ON / Vintage Ad #780: Baseball Fans Guide to Ball Park Franks via Wikimedia Commons, CC BY 2.0",,,,direct_public_image_download,secondary context scan; crop only if OCR or reviewer sees ingredient/nutrition panel,package/front text and any visible label clues; ingredient panel not guaranteed,1,0
ball_park_franks,Ball Park Franks,Ball Park,meat,2010s bridge,ball_park_franks__2010s__984__1,licensed_package_photo,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File%3ABall_Park_Angus_Beef_Frank_%2836163721905%29.jpg,Wikimedia Commons Ball Park Angus Beef Frank package photo,Wikimedia Commons / Willis Lam,secondary_product_context,2,medium,package_identity_review_needed,external_image_reference_ready,Download rights-cleared product image into private cache for broad OCR/identity context only; do not treat as ingredient proof unless OCR finds a readable panel signal.,45,OCR text is candidate-only; no ingredient claim promotion without manual verification metadata.,ocr_lines; ingredient_panel_visibility; corrected_text; reviewer; manual_verified,https://upload.wikimedia.org/wikipedia/commons/d/d1/Ball_Park_Angus_Beef_Frank_%2836163721905%29.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d1/Ball_Park_Angus_Beef_Frank_%2836163721905%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Ball_Park_Angus_Beef_Frank_%2836163721905%29.jpg/960px-Ball_Park_Angus_Beef_Frank_%2836163721905%29.jpg,embed_rights_cleared,Wikimedia Commons CC BY-SA 2.0 / Creative Commons Attribution-Share Alike 2.0,https://creativecommons.org/licenses/by-sa/2.0,"Willis Lam / Ball Park Angus Beef Frank via Wikimedia Commons, CC BY-SA 2.0",,,candidate,direct_public_image_download,secondary context scan; crop only if OCR or reviewer sees ingredient/nutrition panel,package/front text and any visible label clues; ingredient panel not guaranteed,1,0
ball_park_franks,Ball Park Franks,Ball Park,meat,Current SKU anchor,ball_park_franks__current_2020s__984__10,licensed_package_photo,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File%3ABall_Park_Angus_Beef_Frank_%2836163721905%29.jpg,Wikimedia Commons Ball Park Angus Beef Frank package photo,Wikimedia Commons / Willis Lam,secondary_product_context,2,medium,package_identity_review_needed,external_image_reference_ready,Download rights-cleared product image into private cache for broad OCR/identity context only; do not treat as ingredient proof unless OCR finds a readable panel signal.,45,OCR text is candidate-only; no ingredient claim promotion without manual verification metadata.,ocr_lines; ingredient_panel_visibility; corrected_text; reviewer; manual_verified,https://upload.wikimedia.org/wikipedia/commons/d/d1/Ball_Park_Angus_Beef_Frank_%2836163721905%29.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d1/Ball_Park_Angus_Beef_Frank_%2836163721905%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Ball_Park_Angus_Beef_Frank_%2836163721905%29.jpg/960px-Ball_Park_Angus_Beef_Frank_%2836163721905%29.jpg,embed_rights_cleared,Wikimedia Commons CC BY-SA 2.0 / Creative Commons Attribution-Share Alike 2.0,https://creativecommons.org/licenses/by-sa/2.0,"Willis Lam / Ball Park Angus Beef Frank via Wikimedia Commons, CC BY-SA 2.0",,,candidate,direct_public_image_download,secondary context scan; crop only if OCR or reviewer sees ingredient/nutrition panel,package/front text and any visible label clues; ingredient panel not guaranteed,1,0
ball_park_franks,Ball Park Franks,Ball Park,meat,Earliest label hunt,ball_park_franks__earliest_verified_label__990__1,licensed_package_photo,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File%3AVintage_Ad_-780-_Baseball_Fans_Guide_to_Ball_Park_Franks_%283415970199%29.jpg,Wikimedia Commons 1976 Ball Park Franks vintage ad,"Wikimedia Commons / Jamie from Toronto, ON",secondary_product_context,2,medium,package_identity_review_needed,external_image_reference_ready,Download rights-cleared product image into private cache for broad OCR/identity context only; do not treat as ingredient proof unless OCR finds a readable panel signal.,45,OCR text is candidate-only; no ingredient claim promotion without manual verification metadata.,ocr_lines; ingredient_panel_visibility; corrected_text; reviewer; manual_verified,https://upload.wikimedia.org/wikipedia/commons/a/a6/Vintage_Ad_-780-_Baseball_Fans_Guide_to_Ball_Park_Franks_%283415970199%29.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a6/Vintage_Ad_-780-_Baseball_Fans_Guide_to_Ball_Park_Franks_%283415970199%29.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a6/Vintage_Ad_-780-_Baseball_Fans_Guide_to_Ball_Park_Franks_%283415970199%29.jpg,embed_rights_cleared,Wikimedia Commons CC BY 2.0 / Creative Commons Attribution 2.0,https://creativecommons.org/licenses/by/2.0,"Jamie from Toronto, ON / Vintage Ad #780: Baseball Fans Guide to Ball Park Franks via Wikimedia Commons, CC BY 2.0",,,,direct_public_image_download,secondary context scan; crop only if OCR or reviewer sees ingredient/nutrition panel,package/front text and any visible label clues; ingredient panel not guaranteed,1,0
campbells_chicken_noodle_soup,Campbell's Chicken Noodle Soup,Campbell's,soup,2010s bridge,campbells_chicken_noodle_soup__2010s__178__1,licensed_package_photo,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File%3ACampbell%27s_Chicken_Noodle_Soup_%2816184220183%29.jpg,Campbell's Chicken Noodle Soup Can Photo - Wikimedia Commons,Wikimedia Commons / Willis Lam,secondary_product_context,2,medium,package_identity_review_needed,external_image_reference_ready,Download rights-cleared product image into private cache for broad OCR/identity context only; do not treat as ingredient proof unless OCR finds a readable panel signal.,45,OCR text is candidate-only; no ingredient claim promotion without manual verification metadata.,ocr_lines; ingredient_panel_visibility; corrected_text; reviewer; manual_verified,https://upload.wikimedia.org/wikipedia/commons/0/0d/Campbell%27s_Chicken_Noodle_Soup_%2816184220183%29.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0d/Campbell%27s_Chicken_Noodle_Soup_%2816184220183%29.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0d/Campbell%27s_Chicken_Noodle_Soup_%2816184220183%29.jpg,embed_rights_cleared,Wikimedia Commons CC BY-SA 2.0 / Creative Commons Attribution-Share Alike 2.0,https://creativecommons.org/licenses/by-sa/2.0,"Willis Lam / Campbell's Chicken Noodle Soup via Wikimedia Commons, CC BY-SA 2.0",,,,direct_public_image_download,secondary context scan; crop only if OCR or reviewer sees ingredient/nutrition panel,package/front text and any visible label clues; ingredient panel not guaranteed,1,0
campbells_tomato_soup,Campbell's Condensed Tomato Soup,Campbell's,soup,Earliest bounded chapter; 1980s or earlier,campbells_tomato_soup_evidence_1,licensed_package_photo,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File%3ACampbell%27s_Condensed_Tomato_Soup%2C_1905.jpg,Wikimedia Commons Campbell's Condensed Tomato Soup 1905 file page,"Wikimedia Commons / Hill, Janet McKenzie, 1852-1933, ed; Boston Cooking School (Boston, Mass.)",secondary_product_context,2,medium,package_identity_review_needed,external_image_reference_ready,Download rights-cleared product image into private cache for broad OCR/identity context only; do not treat as ingredient proof unless OCR finds a readable panel signal.,45,OCR text is candidate-only; no ingredient claim promotion without manual verification metadata.,ocr_lines; ingredient_panel_visibility; corrected_text; reviewer; manual_verified,https://upload.wikimedia.org/wikipedia/commons/6/60/Campbell%27s_Condensed_Tomato_Soup%2C_1905.jpg,https://upload.wikimedia.org/wikipedia/commons/6/60/Campbell%27s_Condensed_Tomato_Soup%2C_1905.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Campbell%27s_Condensed_Tomato_Soup%2C_1905.jpg/960px-Campbell%27s_Condensed_Tomato_Soup%2C_1905.jpg,embed_rights_cleared,Wikimedia Commons No restrictions / No known copyright restrictions,https://www.flickr.com/commons/usage/,"Hill, Janet McKenzie, 1852-1933, ed; Boston Cooking School (Boston, Mass.) / https://www.flickr.com/photos/internetarchivebookimages/14770225631/ Source book page: https://archive.org/stream/bostoncookingsch19hill_4/bostoncookingsch19hill_4#page/n644/mode/1up via Wikimedia Commons, No restrictions",,,,direct_public_image_download,secondary context scan; crop only if OCR or reviewer sees ingredient/nutrition panel,package/front text and any visible label clues; ingredient panel not guaranteed,1,0
coca_cola_classic,Coca-Cola Classic,Coca-Cola,beverages,Earliest bounded chapter; 1980s or earlier,coca_cola_classic_evidence_0,licensed_package_photo,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File%3AOld_coca_cola_cans_1952.jpg,Old Coca-Cola cans 1952 - Wikimedia Commons,Wikimedia Commons / Amada44,secondary_product_context,2,medium,package_identity_review_needed,external_image_reference_ready,Download rights-cleared product image into private cache for broad OCR/identity context only; do not treat as ingredient proof unless OCR finds a readable panel signal.,45,OCR text is candidate-only; no ingredient claim promotion without manual verification metadata.,ocr_lines; ingredient_panel_visibility; corrected_text; reviewer; manual_verified,https://upload.wikimedia.org/wikipedia/commons/0/0c/Old_coca_cola_cans_1952.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0c/Old_coca_cola_cans_1952.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Old_coca_cola_cans_1952.jpg/960px-Old_coca_cola_cans_1952.jpg,embed_rights_cleared,Wikimedia Commons CC BY-SA 3.0 / Creative Commons Attribution-Share Alike 3.0,https://creativecommons.org/licenses/by-sa/3.0,"Amada44 / Own work via Wikimedia Commons, CC BY-SA 3.0",,,,direct_public_image_download,secondary context scan; crop only if OCR or reviewer sees ingredient/nutrition panel,package/front text and any visible label clues; ingredient panel not guaranteed,1,0
